business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,debt_to_income_ratio,collateral_value,repayment_history,default_flag
Trading,21,5412942,40923,546389,440,2,0.89,4363867,Good,1
Retail,23,2197951,291020,2197865,437,2,0.63,1573474,Poor,1
Trading,11,6162835,343117,1436123,527,4,0.64,4490759,Good,1
Trading,23,616462,416103,2992050,580,4,0.13,1174995,Average,1
Retail,16,1189855,214795,1626845,730,1,0.58,1834865,Average,0
Services,15,1714718,324566,1038722,339,3,0.49,3974036,Good,0
Trading,21,2457280,253462,2087398,818,2,0.18,235612,Good,0
Retail,15,6810584,71413,2000639,510,3,0.32,4437399,Poor,1
Manufacturing,4,1108301,384628,145335,601,1,0.81,2933917,Good,0
Services,11,5776420,416057,2254593,385,2,0.54,3668839,Average,0
Manufacturing,19,4480266,275719,1115560,696,2,0.43,4788664,Good,0
Manufacturing,15,6596495,48756,2563128,552,0,0.16,4833999,Good,0
Retail,4,4646657,353720,2804036,832,1,0.67,1091550,Good,0
Trading,21,412935,138248,2789894,680,1,0.66,1543738,Poor,1
Retail,13,6077610,292448,141656,743,0,0.59,962334,Good,0
Retail,22,4351889,50341,2212766,332,3,0.51,3453695,Poor,1
Retail,19,1638306,417974,2314115,559,0,0.45,886469,Poor,1
Retail,2,2450205,430226,403153,533,1,0.57,1265462,Good,0
Services,14,5724441,147039,2580200,814,3,0.29,3212806,Poor,0
Trading,4,6281344,211830,2029442,607,2,0.85,2689391,Good,0
Manufacturing,16,4580650,182730,1037938,369,0,0.57,895719,Average,0
Manufacturing,21,4823535,200074,2930229,753,3,0.35,4338281,Average,0
Trading,20,4900145,254390,986066,738,3,0.46,2315323,Poor,0
Manufacturing,14,5052989,152447,1032014,663,3,0.74,3842043,Average,0
Trading,15,1669391,119485,912839,780,0,0.23,3348979,Good,0
Manufacturing,3,4610518,304236,2941194,443,2,0.33,1990124,Poor,1
Retail,8,2882153,151562,1732245,323,3,0.64,4467694,Good,1
Manufacturing,16,1153329,23729,1584710,724,0,0.35,264602,Poor,1
Trading,10,2030085,157046,1114367,474,1,0.73,1567737,Poor,1
Trading,4,2326110,138222,1156623,624,0,0.2,1238155,Poor,0
Trading,18,3384562,367360,284898,647,0,0.71,1054604,Poor,1
Trading,2,5941379,103860,511122,317,0,0.15,1283399,Average,0
Trading,17,4895130,278360,725025,343,3,0.11,2411197,Average,0
Services,13,736542,379014,120246,454,0,0.82,2094716,Average,1
Services,4,5819948,41398,1333531,676,1,0.57,2328476,Poor,0
Manufacturing,11,7228887,316794,2495444,701,3,0.38,2990139,Average,0
Trading,7,4866701,434508,2717330,524,1,0.29,814110,Poor,1
Manufacturing,12,4439394,123889,1498586,516,4,0.59,876876,Average,0
Trading,10,6953897,285303,1655752,330,0,0.51,274507,Poor,1
Trading,7,3280672,380306,620819,358,3,0.89,1718002,Average,1
Services,13,6330326,475982,2000660,652,3,0.89,2145696,Average,0
Services,7,7125847,245959,857040,744,0,0.61,3145917,Average,0
Retail,24,6018618,122834,2490282,534,2,0.45,4992488,Poor,1
Services,17,2362087,430281,1087886,406,2,0.49,1056058,Poor,1
Retail,10,726674,41638,2493292,490,1,0.65,3926516,Average,1
Retail,10,5502413,283217,2204828,829,0,0.18,3006640,Poor,0
Retail,24,382409,459727,1634424,544,0,0.36,1573663,Good,1
Retail,4,7663280,235379,1149044,375,4,0.16,3105573,Average,0
Retail,20,3928104,252069,1083388,846,2,0.16,4597454,Average,0
Manufacturing,4,5193180,49320,2834975,566,2,0.26,1369943,Good,0
Services,22,2295141,483092,501989,616,0,0.49,2837132,Poor,0
Retail,7,4125258,54924,869555,420,1,0.73,3449428,Poor,1
Trading,22,5550904,232792,715078,324,0,0.49,4597429,Poor,1
Services,1,7066886,453950,767997,731,1,0.37,4042879,Average,0
Services,12,5777744,350260,2194751,459,2,0.17,615692,Average,0
Retail,24,5717755,191097,198469,413,4,0.54,1783318,Average,0
Manufacturing,13,5431104,22159,2387422,801,3,0.32,3364593,Average,0
Retail,10,3799701,68940,1166136,465,2,0.59,103018,Average,0
Manufacturing,15,2227716,99436,566394,474,1,0.88,4348251,Poor,1
Trading,13,2221672,490192,2140825,300,0,0.19,221325,Good,0
Services,23,1492503,34678,570112,385,2,0.27,4229911,Poor,1
Trading,22,1433754,212147,1153519,619,4,0.48,61684,Poor,0
Manufacturing,22,5541684,460420,2754114,700,1,0.87,3575225,Average,0
Manufacturing,21,5381857,425237,2696785,681,0,0.72,1862334,Good,0
Trading,22,6059420,157844,1348071,617,3,0.82,537889,Good,0
Manufacturing,9,3203609,87163,1148966,549,1,0.37,1697458,Poor,1
Trading,9,1746250,261040,2468853,824,0,0.89,2884719,Good,1
Services,15,5606490,224827,1100482,555,3,0.18,1198279,Poor,1
Trading,10,1943707,174536,582249,606,0,0.14,1675684,Poor,0
Services,24,7222981,71137,2140178,443,3,0.78,1478662,Poor,1
Trading,10,6248071,443448,239773,690,3,0.84,420431,Poor,1
Manufacturing,8,5193091,343641,392808,468,3,0.17,669384,Average,0
Trading,24,4100315,487240,1179775,597,0,0.19,76949,Good,0
Manufacturing,16,3451396,120485,2246916,532,3,0.13,2965439,Average,0
Trading,17,3668270,260970,2097298,570,1,0.18,1002486,Average,0
Trading,5,6769723,464664,1220933,359,4,0.27,2797995,Average,0
Retail,4,6402545,125468,1441449,595,4,0.88,2083820,Poor,1
Manufacturing,18,2552641,497733,2568929,766,3,0.63,752932,Poor,1
Retail,24,644126,20901,2459864,534,4,0.72,1452303,Average,1
Manufacturing,19,6173301,107980,909734,533,4,0.72,4083155,Average,1
Retail,4,2705514,389738,1062884,667,3,0.53,3811646,Good,0
Services,7,5407385,496813,1717832,531,3,0.74,1539563,Average,1
Trading,10,2142360,285025,2307728,790,1,0.58,1333986,Poor,1
Manufacturing,18,1437411,312007,1922154,802,2,0.35,588843,Average,0
Manufacturing,19,1970357,262434,2757834,680,0,0.55,2160147,Good,0
Trading,4,3212511,418838,963605,727,3,0.53,2041836,Good,0
Manufacturing,10,6239334,414594,1560399,663,3,0.76,1651141,Average,0
Manufacturing,1,6693404,496384,66939,501,4,0.89,2560745,Good,1
Retail,23,3630922,222258,2106547,445,1,0.43,1406831,Good,0
Manufacturing,18,3999509,327345,2591083,756,4,0.71,1303375,Poor,1
Services,5,4455479,271839,356604,434,3,0.18,1434467,Good,0
Services,15,6009635,341395,2082656,563,3,0.72,1221381,Good,1
Trading,17,4788155,92572,2346446,363,4,0.4,3684434,Average,0
Manufacturing,3,7778400,59255,2209271,790,3,0.13,2138897,Poor,0
Trading,12,3602198,83212,2837833,340,2,0.39,2845929,Good,0
Services,2,597986,332354,1508251,595,0,0.59,2806299,Average,1
Manufacturing,1,6604717,407773,1053750,302,0,0.2,866555,Average,0
Manufacturing,23,7716741,42499,1317403,409,0,0.84,4901699,Average,1
Trading,21,4066001,122552,1365777,520,2,0.16,3080640,Average,0
Services,17,2765912,464844,199805,669,3,0.84,3576297,Average,0
Manufacturing,22,2322784,81360,1904165,667,4,0.67,3088300,Average,0
Trading,16,1153605,417819,1920038,735,1,0.36,119097,Good,0
Services,5,5836805,409610,2297837,303,3,0.41,1096878,Poor,1
Trading,15,2672948,367617,1731476,543,2,0.69,1780915,Poor,1
Retail,3,1615823,163704,427224,465,2,0.58,3561379,Average,0
Manufacturing,7,3733372,181679,1968036,325,0,0.64,787670,Average,1
Retail,11,1070692,111873,529498,694,3,0.41,4013770,Poor,0
Services,10,6167504,85756,1234836,773,0,0.49,3289849,Good,0
Retail,9,728745,460210,288178,316,1,0.89,4775785,Average,1
Retail,14,5132091,214454,309418,391,0,0.27,3474506,Poor,1
Services,13,973812,483570,2176832,782,1,0.43,3684695,Poor,1
Trading,2,3232977,338488,284433,842,2,0.33,3442377,Average,0
Retail,3,3870118,466991,2076199,504,0,0.71,1362061,Poor,1
Trading,7,7282252,420565,414446,801,0,0.71,4688589,Good,0
Retail,21,1658126,353298,2614768,699,4,0.33,574662,Poor,1
Trading,18,6916659,47464,498934,506,2,0.17,4751770,Average,0
Services,3,4117042,455840,2707885,445,4,0.11,1461121,Average,0
Retail,10,4839170,141897,1097725,400,1,0.44,3596198,Poor,1
Services,22,5269411,319488,1628660,540,1,0.43,2315590,Poor,1
Retail,7,836644,103791,1932226,462,2,0.89,1677003,Average,1
Services,9,952416,175371,1793067,472,1,0.48,991166,Good,1
Services,17,5510307,199047,1499915,801,2,0.31,3914940,Poor,0
Retail,11,3447915,152534,2810734,846,1,0.81,3574115,Good,0
Retail,7,6028567,402353,2957658,583,3,0.49,663622,Good,0
Retail,24,3073737,101441,2128038,658,0,0.58,4106502,Average,0
Manufacturing,14,2007542,372600,1521617,680,3,0.18,2249009,Average,0
Trading,19,4491896,363932,873271,832,2,0.41,4537671,Average,0
Manufacturing,4,6386932,257612,1992120,462,2,0.86,1565433,Good,1
Manufacturing,6,1774620,453797,2739762,606,3,0.57,2667083,Average,0
Services,10,1474846,251444,2989905,638,0,0.38,1247305,Average,0
Retail,7,2292569,484505,1732964,354,0,0.6,1576446,Good,0
Trading,13,2149395,296319,2566356,632,4,0.83,1996360,Good,1
Services,14,6923063,157263,871939,426,1,0.32,4105821,Good,0
Manufacturing,4,1289336,365578,149244,542,4,0.5,628292,Good,0
Retail,8,5261590,104518,2535084,708,0,0.87,2661440,Poor,1
Services,5,5524237,231230,1508835,802,3,0.24,626880,Average,0
Retail,1,7511551,348681,2550120,602,1,0.68,3146813,Poor,1
Services,4,3438102,397865,1298641,763,3,0.59,4078832,Good,0
Retail,3,7357247,67645,2199279,534,4,0.64,2981578,Good,1
Manufacturing,9,5460324,259608,1042281,337,2,0.38,4387115,Good,0
Trading,8,2750979,43283,911864,438,3,0.35,1952317,Good,0
Manufacturing,1,6129229,369115,1737040,494,4,0.65,3655980,Good,1
Trading,6,4205513,374903,2246274,826,4,0.27,2804700,Average,0
Retail,9,2332816,210195,2479700,300,4,0.44,1714849,Poor,1
Services,7,7721289,122780,1442652,395,2,0.25,3946492,Poor,1
Manufacturing,4,361753,443240,671458,712,2,0.11,4249199,Average,0
Trading,13,7462662,462846,1581439,837,2,0.88,2333793,Average,0
Manufacturing,17,5947183,312878,1871042,728,1,0.45,399319,Average,0
Trading,2,5966912,20515,2123890,534,2,0.88,908478,Poor,1
Manufacturing,5,1371984,392926,2767956,648,2,0.21,4519161,Poor,1
Trading,12,4618420,348871,2654902,780,2,0.57,4408545,Good,0
Trading,21,5517084,248872,1206300,695,3,0.26,4777231,Poor,0
Retail,8,955496,391308,448008,650,2,0.73,1530520,Poor,1
Trading,6,6608869,328360,1373957,715,1,0.73,3907911,Average,0
Retail,8,3035090,353977,1936594,350,4,0.19,4072220,Poor,1
Trading,18,3505228,78755,1049291,380,3,0.83,2175640,Good,1
Services,3,5365250,47856,1904260,335,0,0.26,3500777,Poor,1
Services,22,5599238,93870,2110356,366,2,0.59,2591766,Average,0
Services,12,2463349,437378,2846647,780,4,0.89,4459425,Average,1
Trading,3,793992,157080,2394693,767,4,0.81,3380829,Good,1
Retail,22,6291029,290131,1081328,441,3,0.87,3462513,Good,1
Retail,6,6814948,475748,2776087,655,0,0.37,2491636,Poor,0
Trading,2,5280137,116502,1657895,770,1,0.18,1627295,Good,0
Services,23,7017526,416548,224001,738,4,0.25,1724700,Good,0
Services,12,376240,86323,1426467,830,4,0.5,4385288,Average,0
Retail,2,4729899,452206,1549643,426,4,0.73,4103617,Average,1
Services,6,6065590,292017,2464607,504,4,0.22,2767544,Poor,1
Manufacturing,17,4191151,233614,2652481,328,3,0.63,1798950,Poor,1
Retail,3,1627042,498977,115867,744,0,0.36,3846790,Poor,0
Services,2,2248061,187516,138780,763,4,0.37,3812973,Poor,0
Retail,23,7647000,448556,2745145,579,1,0.63,2784629,Average,1
Manufacturing,20,6881118,125219,2991478,450,1,0.47,4668241,Poor,1
Retail,8,5332661,25033,924072,539,2,0.75,1828016,Poor,1
Retail,22,4685224,355468,2647805,565,4,0.22,502827,Good,0
Retail,12,1198332,297833,2423887,404,4,0.73,572551,Poor,1
Retail,4,1179854,129756,50727,732,4,0.15,2319726,Good,0
Manufacturing,5,7903876,282210,1069051,796,4,0.26,1153396,Average,0
Trading,13,4325942,134159,1464119,739,4,0.62,699830,Poor,1
Retail,15,6823532,196318,1210689,457,1,0.78,3888914,Good,1
Retail,23,5566079,27533,1318182,471,0,0.3,489454,Poor,1
Services,16,2834957,493855,2539727,793,0,0.36,1338943,Good,0
Retail,10,463187,221224,440732,610,2,0.53,424363,Poor,0
Services,23,4949454,262653,2620746,702,1,0.27,2650554,Average,0
Trading,16,5003855,397972,2301743,762,4,0.75,1578894,Average,0
Manufacturing,12,1862518,341802,2050398,666,0,0.72,4546499,Good,1
Manufacturing,17,5548400,320642,1304179,849,3,0.22,1751365,Good,0
Trading,16,1982678,129028,2326158,554,3,0.47,834175,Average,1
Manufacturing,12,467527,293916,1471525,507,3,0.72,4421245,Poor,1
Trading,8,7362100,371529,2003097,749,4,0.37,3533628,Good,0
Trading,20,3044804,462252,2760807,394,4,0.61,1376335,Average,1
Trading,3,1887819,471747,2160417,777,2,0.14,4682104,Good,0
Manufacturing,16,5718001,270231,1512417,489,2,0.59,1424558,Average,0
Services,13,5482101,32940,1702486,783,2,0.22,3802035,Average,0
Trading,23,1820373,400171,2471188,835,3,0.76,1916388,Good,1
Retail,19,6841600,36932,725899,722,4,0.38,4606959,Good,0
Manufacturing,8,6656381,246377,368774,432,3,0.33,451436,Average,0
Trading,22,6960816,470043,536626,354,2,0.77,702145,Poor,1
Trading,5,894557,474647,705313,809,4,0.14,3444845,Average,0
Retail,20,7539914,44648,661868,840,1,0.42,204390,Poor,0
Services,8,1290121,52966,389606,709,0,0.4,723556,Poor,0
Services,24,3749330,440993,2784836,510,0,0.33,3906248,Poor,1
Services,12,5894061,275733,1457757,592,2,0.83,2299078,Good,1
Trading,1,2025049,183639,1193886,414,3,0.7,1195053,Average,1
Trading,21,3545705,266331,1254656,558,1,0.15,3569153,Average,0
Trading,20,783442,430390,788456,421,4,0.67,4021683,Poor,1
Manufacturing,6,7421827,62598,1188452,598,3,0.52,3297356,Poor,1
Retail,22,5572225,210271,2696416,680,2,0.82,936834,Poor,1
Trading,18,7371432,427014,732986,800,3,0.35,4930930,Average,0
Retail,8,4409545,478580,410400,596,2,0.56,2755748,Poor,1
Retail,7,1720827,430774,1461257,661,0,0.5,2821728,Average,0
Services,1,2256874,343228,2338013,762,0,0.49,1462983,Average,0
Manufacturing,21,5504173,195309,2780771,737,3,0.46,3360257,Good,0
Trading,16,4231814,216569,1817581,426,1,0.26,4832716,Poor,1
Services,12,4988118,151250,2398818,496,4,0.7,4441225,Poor,1
Services,6,6922766,268004,678151,520,2,0.46,954192,Poor,1
Trading,20,2051797,499222,1007004,390,4,0.87,1288900,Good,1
Retail,2,397406,37118,385510,710,0,0.31,1402744,Poor,0
Services,14,7951474,42616,502333,307,1,0.65,2252346,Average,1
Retail,4,7556181,151870,2097463,843,1,0.85,225612,Poor,1
Manufacturing,1,3752814,289745,907617,767,4,0.63,2839614,Average,0
Retail,23,6070621,307507,100248,619,0,0.8,373555,Average,0
Manufacturing,18,4072827,22795,1304304,693,4,0.76,42262,Average,0
Retail,13,7170679,117462,2091781,568,3,0.39,2078237,Average,0
Services,2,4878887,458480,2227040,490,1,0.58,4300739,Poor,1
Services,9,1321436,385036,290346,360,1,0.23,3124756,Good,0
Manufacturing,21,3191912,354977,668821,737,3,0.53,3756330,Good,0
Trading,2,7655566,285228,91954,563,0,0.28,4883590,Average,0
Manufacturing,9,5496733,378009,401863,394,1,0.69,643606,Poor,1
Manufacturing,1,1909184,489862,714164,769,2,0.52,392278,Good,0
Retail,11,5643426,282875,1846641,813,2,0.43,4057118,Poor,0
Retail,3,5098793,152201,312739,493,0,0.32,2638968,Good,0
Manufacturing,20,7637895,179094,1663507,781,3,0.9,2952837,Average,0
Services,23,4484238,283749,2471961,635,4,0.16,3845056,Average,0
Retail,4,7350217,97506,318116,734,0,0.13,353082,Average,0
Trading,18,7910816,260313,1820330,495,4,0.27,1538971,Good,0
Retail,23,2628476,64130,514271,548,0,0.88,3712145,Poor,1
Retail,6,784273,442481,2696460,797,2,0.88,4570444,Average,1
Trading,3,6228289,183402,414765,511,3,0.62,3371488,Poor,1
Manufacturing,22,7873644,350613,1970382,765,2,0.8,4730118,Poor,1
Trading,11,6254293,166259,2192064,520,3,0.27,763871,Average,0
Manufacturing,15,5413728,439007,62879,572,4,0.88,484780,Good,1
Manufacturing,22,2703233,372580,608086,453,0,0.21,107535,Average,0
Manufacturing,5,3122236,221682,1581618,548,1,0.18,15063,Average,0
Trading,20,5686159,394485,751433,578,1,0.19,3805811,Good,0
Manufacturing,10,7836878,243034,1436511,739,3,0.56,1577077,Poor,0
Services,12,988332,453083,537947,575,3,0.72,1281418,Good,1
Trading,15,5946895,414109,2805362,813,2,0.39,4807510,Good,0
Services,17,1026448,119694,209472,387,1,0.88,3846305,Average,1
Manufacturing,10,7013588,39773,2141028,804,2,0.45,1072231,Good,0
Retail,6,370463,286383,2945537,540,4,0.22,1537676,Good,1
Manufacturing,18,6684956,303007,2777850,535,1,0.47,2649511,Good,0
Services,13,5750652,333559,1748019,427,4,0.64,1359871,Poor,1
Services,3,7152902,88968,1829472,802,0,0.77,2623643,Poor,1
Trading,24,1433183,80430,1351288,499,2,0.47,1193283,Average,0
Retail,10,3166457,270072,1966037,842,3,0.57,1705080,Average,0
Trading,14,2730992,21515,2447466,801,1,0.31,3736739,Poor,0
Services,6,5342246,117206,2376168,791,2,0.62,2296893,Good,0
Manufacturing,3,4614380,265282,1984984,320,3,0.89,4263251,Average,1
Retail,16,5601572,255702,1388971,533,0,0.14,2132343,Average,0
Manufacturing,7,5149433,427821,2807436,715,1,0.81,4441433,Good,0
Manufacturing,20,5211408,338384,1146613,447,4,0.55,72264,Good,0
Retail,14,5296546,25586,142115,328,0,0.3,4383300,Good,0
Trading,9,5416934,402563,2087701,660,3,0.86,3592368,Good,0
Manufacturing,15,6752537,404518,532870,607,1,0.49,609251,Good,0
Services,21,1460294,265277,1168976,461,1,0.37,1835980,Poor,1
Manufacturing,3,5895956,51186,413308,360,0,0.25,3507091,Good,0
Retail,2,5018784,46928,1847038,424,1,0.3,4331997,Average,0
Retail,2,2644688,249336,2288926,755,3,0.77,4416925,Poor,1
Retail,3,336413,234159,65385,370,0,0.59,4383070,Average,0
Trading,18,7783920,405134,1658885,765,4,0.83,1889785,Good,0
Manufacturing,14,3248632,369173,2655822,542,0,0.29,3422402,Average,0
Trading,20,6190298,40711,167369,789,0,0.2,4332730,Good,0
Trading,18,7166684,74962,794990,520,4,0.1,2986479,Average,0
Retail,10,864430,40039,2236554,772,3,0.51,3591023,Average,0
Retail,2,3968508,56561,2791214,832,2,0.9,1192198,Good,0
Trading,22,6627924,226555,2400876,793,2,0.66,1398916,Average,0
Manufacturing,1,5442506,494611,2887097,381,4,0.35,4700175,Poor,1
Services,4,5160319,239730,2851549,821,3,0.8,2057956,Average,0
Trading,14,7819001,21577,2281737,311,1,0.73,2756802,Poor,1
Manufacturing,1,5966171,127792,2917695,562,4,0.11,448250,Poor,1
Retail,14,3324015,441566,2815847,748,2,0.75,4135214,Average,0
Retail,16,1215480,267980,1798076,491,3,0.34,3396655,Poor,1
Manufacturing,22,3941141,258540,1202702,413,0,0.22,58175,Poor,1
Services,14,3681915,447014,1700522,325,3,0.28,3551272,Average,0
Retail,20,342056,248506,1264488,798,3,0.47,427463,Good,0
Retail,3,2448983,232489,1097738,807,2,0.44,979314,Good,0
Retail,3,3242775,30785,1916015,844,2,0.33,2147509,Poor,0
Manufacturing,9,1073952,92227,2073027,361,1,0.24,565904,Poor,1
Trading,6,1208380,400824,1217213,528,1,0.71,2551652,Good,1
Retail,13,4920792,344101,957153,334,4,0.89,185128,Poor,1
Trading,21,5126709,85431,2764660,755,0,0.72,4679003,Good,0
Services,2,6868271,430513,1124969,801,1,0.34,2404830,Average,0
Retail,8,1637768,354038,1680344,324,2,0.3,210128,Poor,1
Retail,21,3390930,267941,1973298,331,3,0.27,806575,Average,0
Services,2,2160971,214844,1763043,311,4,0.21,3090484,Good,0
Retail,4,7159698,170653,571397,618,1,0.54,3254108,Good,0
Trading,15,1814101,337336,842425,300,3,0.58,2814985,Average,0
Manufacturing,4,2630344,283606,1192226,734,3,0.66,1504994,Poor,1
Trading,13,1706150,410992,1616772,435,1,0.64,41713,Average,1
Manufacturing,12,825005,215245,102066,495,0,0.33,3626800,Average,0
Manufacturing,13,3719548,428727,2521146,432,0,0.36,2695750,Poor,1
Trading,14,1529458,358250,1927950,385,4,0.65,4509714,Good,1
Trading,20,6563745,330809,1114714,775,0,0.38,2815702,Average,0
Trading,18,1467272,195486,2265710,623,4,0.27,3751879,Average,0
Trading,6,7603596,363154,308480,479,2,0.4,4870864,Good,0
Services,11,6596450,92573,2584895,815,1,0.32,1436953,Average,0
Retail,2,7382122,244737,1369910,474,3,0.17,4470299,Good,0
Manufacturing,23,6660756,389947,1176998,320,4,0.76,474106,Poor,1
Trading,19,6897549,139682,1061214,404,0,0.78,4063142,Good,1
Trading,19,5055997,33386,2176238,742,4,0.28,3341728,Good,0
Trading,5,5839896,406213,2272756,348,4,0.15,523047,Average,0
Services,19,3750087,74460,1985822,827,0,0.69,538908,Good,0
Trading,2,6241682,419437,1217900,444,0,0.27,4781587,Good,0
Trading,10,7107935,436690,2623937,639,1,0.41,2658121,Average,0
Trading,2,1793551,135375,2888122,653,3,0.15,2948093,Good,0
Retail,11,4273313,394804,1489641,374,1,0.28,476555,Average,0
Services,18,2736831,172117,53435,618,1,0.73,4262007,Poor,1
Trading,24,4465255,373463,1986513,386,0,0.74,2820192,Good,1
Manufacturing,15,2006517,136582,1938339,341,0,0.27,2033783,Poor,1
Manufacturing,9,3497445,418138,2862147,392,3,0.37,1811992,Good,0
Manufacturing,23,3448491,263015,1520851,806,4,0.21,4498584,Good,0
Services,19,655054,173778,762917,828,1,0.16,1271028,Poor,1
Services,9,3501208,324915,2522753,564,3,0.89,4708099,Poor,1
Manufacturing,3,4139847,72335,2985973,591,1,0.62,83086,Average,1
Trading,21,5750019,249087,2986598,763,4,0.53,4474702,Average,0
Services,9,1466670,72949,342441,396,1,0.71,4833439,Poor,1
Manufacturing,14,980667,483930,2715330,394,2,0.77,2051763,Good,1
Manufacturing,19,3148883,115558,2430618,625,3,0.75,2634366,Average,0
Trading,7,5619728,428456,2707179,373,0,0.11,3603208,Good,0
Retail,16,5710897,384416,1501511,635,1,0.25,508237,Average,0
Services,16,2314017,284860,2750993,367,3,0.62,4705804,Average,1
Trading,1,7384364,167646,58314,376,3,0.4,4563835,Average,0
Manufacturing,4,4939276,262887,668119,507,1,0.89,2884509,Poor,1
Manufacturing,4,4322261,496471,2969697,520,0,0.63,1037711,Good,1
Trading,7,4937203,486933,691462,561,0,0.87,4770187,Poor,1
Services,8,4975519,457282,2293581,709,1,0.26,1178825,Average,0
Retail,17,5194940,212898,2377089,630,3,0.79,1216396,Poor,1
Retail,5,2299482,171285,594653,643,0,0.36,34187,Poor,0
Manufacturing,7,3949244,91916,351173,373,1,0.89,2140987,Poor,1
Services,20,4914466,217223,1362457,553,1,0.23,3407931,Good,0
Retail,20,6146866,279590,443186,631,1,0.51,1542620,Poor,0
Services,4,7361506,268090,1828568,697,3,0.73,1265365,Poor,1
Services,6,4213397,70906,390362,644,0,0.45,3172963,Poor,0
Manufacturing,7,3388589,282607,2927118,754,3,0.47,2715648,Poor,0
Retail,18,6482719,445189,815387,414,2,0.89,67114,Poor,1
Trading,5,4539399,94694,2388626,612,0,0.44,2750631,Poor,0
Manufacturing,20,1821722,433867,2275844,527,3,0.58,1432609,Poor,1
Retail,3,6983574,350838,812790,544,0,0.14,3927073,Average,0
Retail,7,2162205,302152,1800093,825,2,0.77,1080736,Poor,1
Retail,22,6456931,90474,2072327,827,4,0.62,2982595,Poor,1
Retail,14,6089178,58185,1270682,726,1,0.42,919284,Good,0
Retail,7,1765915,370068,1098870,341,3,0.11,4109811,Average,0
Services,5,650067,282048,861028,764,2,0.57,3992910,Poor,1
Manufacturing,22,2006826,487633,2245337,577,2,0.11,4835441,Good,1
Services,5,2359385,276574,2945018,318,0,0.1,2534867,Poor,1
Trading,23,1741246,222211,2205534,365,0,0.59,4881550,Poor,1
Retail,2,7749194,317124,1398818,466,1,0.25,402016,Poor,1
Manufacturing,21,6974527,42504,2676095,702,0,0.25,2168127,Poor,0
Retail,22,2667322,74970,657317,708,3,0.62,1635543,Poor,1
Manufacturing,6,1675645,298910,1406948,411,3,0.14,4260085,Good,0
Services,15,4038858,136944,2150923,573,3,0.35,4464878,Poor,1
Manufacturing,21,5838689,376066,1434819,706,4,0.22,466935,Good,0
Trading,10,6862877,424911,1743675,672,3,0.56,4757284,Poor,0
Trading,23,2570463,431012,1024303,338,0,0.63,4423638,Good,1
Manufacturing,24,7032336,193615,1902566,404,0,0.68,229652,Average,1
Manufacturing,7,1134440,427775,1066972,623,3,0.3,3174332,Poor,0
Manufacturing,5,6343995,184211,370580,713,2,0.17,1086445,Average,0
Manufacturing,1,5150334,140494,699179,728,2,0.16,2767049,Average,0
Trading,13,7860315,254941,2926237,360,2,0.44,3813589,Average,0
Retail,21,7264705,28802,828760,606,1,0.86,2875997,Poor,1
Manufacturing,18,5991708,487059,2703816,653,4,0.27,2740701,Average,0
Manufacturing,13,999895,191277,1086658,692,3,0.31,4571087,Good,0
Trading,21,6932142,316303,530674,503,1,0.18,1946698,Poor,1
Trading,21,7956495,31516,1176500,557,2,0.58,430037,Average,0
Services,18,545144,332636,603620,785,3,0.64,2484888,Poor,1
Manufacturing,5,4324227,311230,2540297,816,1,0.61,3413945,Average,0
Services,13,4122727,133758,443056,745,0,0.79,3129485,Good,0
Trading,4,1544360,50480,139031,479,2,0.49,3425973,Poor,1
Trading,17,7525593,203163,233024,641,1,0.21,619165,Poor,0
Retail,3,5270809,148023,1126048,432,0,0.33,2366609,Average,0
Manufacturing,17,3349316,392339,2207098,742,2,0.63,4253972,Good,0
Services,11,6922575,198838,1597358,552,4,0.59,354100,Poor,1
Trading,21,7803276,320881,994353,564,2,0.52,2736527,Average,0
Trading,20,2849565,291409,2800677,392,4,0.65,4575899,Good,1
Services,23,1449734,134165,1101341,710,4,0.61,3762691,Good,0
Retail,21,7567807,139501,355218,437,4,0.81,4285938,Good,1
Trading,4,2146585,269329,2512091,507,3,0.57,4303423,Good,1
Manufacturing,2,3260883,353134,1724251,606,3,0.72,953487,Poor,1
Trading,20,7398064,297530,1873980,565,4,0.3,3579253,Poor,1
Manufacturing,16,4407618,386862,2640529,617,0,0.64,4224019,Good,0
Services,18,5606852,319569,2016849,412,4,0.82,953919,Average,1
Manufacturing,8,1206450,141635,1771742,677,1,0.41,4412704,Average,0
Services,3,6025887,194326,723616,753,4,0.72,1549904,Good,0
Manufacturing,9,1782795,240935,416047,490,3,0.68,659012,Good,1
Services,20,582140,73634,568790,739,3,0.15,3958457,Average,0
Manufacturing,6,1908795,499933,1726443,486,1,0.57,3374758,Good,0
Retail,10,7239912,198734,2186491,666,1,0.2,2242027,Good,0
Manufacturing,21,5709662,369132,354543,388,2,0.87,4462755,Poor,1
Manufacturing,10,7763131,254856,1506498,486,0,0.75,977987,Poor,1
Retail,13,858981,388481,568993,431,0,0.19,3046230,Good,0
Trading,17,2343321,238599,762932,675,0,0.2,1788734,Good,0
Trading,9,408944,257919,1577671,398,3,0.58,460287,Poor,1
Manufacturing,17,2097519,488668,1031271,333,0,0.38,3416599,Good,0
Retail,24,4177590,423359,2279537,470,2,0.13,2283630,Poor,1
Manufacturing,9,6537058,428797,1042206,665,2,0.53,1590196,Poor,0
